"longitude","latitude","time","depth","salinity","chlorophyll","dissolved_oxygen","backscatter","temperature","density","ID","date","distance","distance_km","dissolved_oxygen_2"
-126.111744281046,48.9627528186275,2022-08-03 17:15:53,52.0153896368588,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,247108.878983512,247.108878983512,NA
-126.111746187364,48.9627546568627,2022-08-03 17:15:54,52.0153896368588,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,247109.126406881,247.109126406881,NA
-126.112316176471,48.9633042892157,2022-08-03 17:20:53,52.0153896368588,32.9001902587004,0.388799995183945,123.475997924805,0.000694153015501797,8.02859973907471,1025.74476198179,"k999_deep",2022-08-03,247183.105863261,247.183105863261,2.83396827920139
-126.116324793316,48.9671385312225,2022-08-03 17:46:51,53.107987026586,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,247700.576495655,247.700576495655,NA
-126.116330281442,48.9671437730871,2022-08-03 17:46:53,54.2005844163131,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,247701.284270204,247.701284270204,NA
-126.117156244503,48.9679326737027,2022-08-03 17:51:54,55.2931818060403,32.8893276087692,0.280800014734268,125.128997802734,0.000602964020799845,8.03660011291504,1025.75022566655,"k999_deep",2022-08-03,247807.804062628,247.807804062628,2.87190722521768
-126.118676534618,48.9691276945039,2022-08-03 18:01:56,43.8302671029723,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,247980.769114101,247.980769114101,NA
-126.119156102784,48.9693655603141,2022-08-03 18:05:31,32.3673523999043,32.53071275909,0.36719998717308,178.789001464844,0.000273567013209686,8.34469985961914,1025.32055498778,"k999_deep",2022-08-03,248022.832306985,248.022832306985,4.10348867259224
-126.12098462585,48.9702011564626,2022-08-03 18:18:11,26.2562979969162,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,248176.809367005,248.176809367005,NA
-126.121422619048,48.9703785714286,2022-08-03 18:20:54,20.1452435939282,32.1045032503066,0.935999989509583,235.337005615234,0.0003368410107214,9.31219959259033,1024.78647774661,"k999_deep",2022-08-03,248211.651244353,248.211651244353,5.40135427163724
-126.122231428571,48.9707061904762,2022-08-03 18:25:55,30.2114172086439,32.6540438706729,0.30239999294281,122.335998535156,0.000299620995065197,8.234299659729,1025.42281056753,"k999_deep",2022-08-03,248275.993349026,248.275993349026,2.80780350092165
-126.12373369507,48.9715397106109,2022-08-03 18:36:12,26.0494400046075,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,248415.715840993,248.415715840993,NA
-126.124143783494,48.971808306538,2022-08-03 18:39:11,21.887462800571,32.1004632478991,0.828000009059906,258.018005371094,0.000323813990689814,9.31079959869385,1024.7915469443,"k999_deep",2022-08-03,248457.545619431,248.457545619431,5.92191887470952
-126.124833373526,48.9722599678457,2022-08-03 18:44:12,60.3564064827203,32.9390122937316,0.395999997854233,99.7490005493164,0.000924916996154934,7.96379995346069,1025.82279649183,"k999_deep",2022-08-03,248527.885346422,248.527885346422,2.28939638625927
-126.126734751204,48.9737274879615,2022-08-03 18:58:00,39.9786756950957,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,248741.782024217,248.741782024217,NA
-126.127118967362,48.9740603263777,2022-08-03 19:00:47,19.6009449074711,32.052762748975,0.935999989509583,296.89599609375,0.000318231002893299,9.44839954376221,1024.72249515822,"k999_deep",2022-08-03,248788.263531478,248.788263531478,6.81422988509869
-126.127811476726,48.9746602327448,2022-08-03 19:05:48,54.2520230087427,32.9218591217553,0.331200003623962,102.567001342773,0.000588076014537364,7.98110008239746,1025.77883195624,"k999_deep",2022-08-03,248872.041321881,248.872041321881,2.35407393488119
-126.129087883096,48.975615450237,2022-08-03 19:15:25,40.2027460423584,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,249012.942031673,249.012942031673,NA
-126.129487093207,48.9758495734597,2022-08-03 19:18:35,26.1534690759741,32.3365019910805,0.799199998378754,207.341003417969,0.000390809989767149,8.67319965362549,1025.09210243408,"k999_deep",2022-08-03,249051.207010257,249.051207010257,4.75880200637982
-126.130119526066,48.9762204739336,2022-08-03 19:23:36,45.82753286928,32.9057057396475,0.244800001382828,104.613998413086,0.000513635983224958,7.99760007858276,1025.72508037101,"k999_deep",2022-08-03,249111.827274026,249.111827274026,2.40105573589823
-126.132018034056,48.9769094040248,2022-08-03 19:37:38,40.3707798254756,NA,NA,NA,NA,NA,NA,"k999_deep",2022-08-03,249255.702191005,249.255702191005,NA
-126.13254628483,48.9770400154799,2022-08-03 19:41:23,34.9140267816712,32.7214351565725,0.352800011634827,162.20100402832,0.000308926013531163,8.19530010223389,1025.50259946039,"k999_deep",2022-08-03,249290.255463438,249.290255463438,3.72276805206152
-126.133252966976,48.977214744582,2022-08-03 19:46:24,35.1319217467242,32.7289832422995,0.295199990272522,116.193000793457,0.000284732988802716,8.16720008850098,1025.51358847423,"k999_deep",2022-08-03,249336.483429182,249.336483429182,2.66681204483491
-126.133959649123,48.9773894736842,2022-08-03 19:51:25,28.8804695439492,32.426121116434,0.403200000524521,185.205001831055,0.000240068999119103,8.42199993133545,1025.21176496895,"k999_deep",2022-08-03,249382.715244896,249.382715244896,4.25074596812152
-126.134666331269,48.9775642027864,2022-08-03 19:56:26,43.9113330922163,32.9003482952418,0.287999987602234,103.363998413086,0.000429890991654247,7.99700021743774,1025.71217486751,"k999_deep",2022-08-03,249428.950908322,249.428950908322,2.37236627066986
