"longitude","latitude","time","depth","salinity","chlorophyll","dissolved_oxygen","backscatter","temperature","density","ID","date","distance","distance_km","dissolved_oxygen_2"
-126.588045837761,48.6827107651435,2022-08-05 09:41:59,265.443533537707,NA,NA,73.4339981079102,NA,NA,NA,"CAN_VI_deep",2022-08-05,75756.1247740693,75.7561247740693,1.68542570823755
-126.58806145944,48.6827035246192,2022-08-05 09:42:03,258.38889516013,33.9760410530388,NA,NA,NA,6.40749979019165,1027.76306958929,"CAN_VI_deep",2022-08-05,75757.5180915136,75.7575180915136,NA
-126.588284068367,48.6826003471484,2022-08-05 09:43:00,251.464309075851,NA,NA,75.8679962158203,NA,NA,NA,"CAN_VI_deep",2022-08-05,75777.3729280131,75.7773729280131,1.74128979150379
-126.588299690046,48.6825931066242,2022-08-05 09:43:04,244.539722991572,33.9649464287034,NA,NA,NA,6.55679988861084,1027.6701186482,"CAN_VI_deep",2022-08-05,75778.7662542865,75.7787662542865,NA
-126.588522298973,48.6824899291534,2022-08-05 09:44:01,237.376964069365,NA,NA,77.8730010986328,NA,NA,NA,"CAN_VI_deep",2022-08-05,75798.6212165755,75.7986212165755,1.78730780579832
-126.588537920652,48.6824826886291,2022-08-05 09:44:05,230.214205147159,33.961751920604,NA,NA,NA,6.69210004806519,1027.58292358244,"CAN_VI_deep",2022-08-05,75800.0145516748,75.8000145516748,NA
-126.588760529578,48.6823795111584,2022-08-05 09:45:02,222.40161428215,NA,NA,80.0139999389648,NA,NA,NA,"CAN_VI_deep",2022-08-05,75819.8696396676,75.8198696396676,1.83644709522527
-126.588776151258,48.6823722706341,2022-08-05 09:45:06,214.589023417141,33.9297712936056,NA,NA,NA,6.75019979476929,1027.47786626618,"CAN_VI_deep",2022-08-05,75821.2629835864,75.8212629835864,NA
-126.588998760184,48.6822690931633,2022-08-05 09:46:03,206.146819666487,NA,NA,85.8929977416992,NA,NA,NA,"CAN_VI_deep",2022-08-05,75841.1181972059,75.8411181972059,1.97137933765663
-126.589014381863,48.682261852639,2022-08-05 09:46:07,197.704615915833,33.9060344488359,NA,NA,NA,6.9306001663208,1027.35639918323,"CAN_VI_deep",2022-08-05,75842.5115499365,75.8425115499365,NA
-126.589057341481,48.6822419411973,2022-08-05 09:46:18,192.079782943902,NA,0.0504000000655651,NA,0.000182378003955819,NA,NA,"CAN_VI_deep",2022-08-05,75846.3432729222,75.8463432729222,NA
-126.58923699079,48.6821586751683,2022-08-05 09:47:04,186.45494997197,NA,NA,94.6029968261719,NA,NA,NA,"CAN_VI_deep",2022-08-05,75862.3668890983,75.8623668890983,2.1712875103551
-126.589252612469,48.682151434644,2022-08-05 09:47:08,180.830117000039,33.8849416938529,NA,NA,NA,7.14429998397827,1027.23211180987,"CAN_VI_deep",2022-08-05,75863.7602506357,75.8637602506357,NA
-126.589295572086,48.6821315232023,2022-08-05 09:47:19,175.390119386448,NA,0.0432000011205673,NA,0.000169350998476148,NA,NA,"CAN_VI_deep",2022-08-05,75867.5919978417,75.8675919978417,NA
-126.589475221396,48.6820482571732,2022-08-05 09:48:05,169.950121772857,NA,NA,106.233001708984,NA,NA,NA,"CAN_VI_deep",2022-08-05,75883.6157152627,75.8836157152627,2.43821440690806
-126.589490843075,48.682041016649,2022-08-05 09:48:09,164.510124159266,33.8456142833218,NA,NA,NA,7.40089988708496,1027.08966530538,"CAN_VI_deep",2022-08-05,75885.0090856016,75.8850090856016,NA
